                  T9                Rate
               0.001                   0
               0.002                   0
               0.003                   0
               0.004                   0
               0.005                   0
               0.006                   0
               0.007                   0
               0.008                   0
               0.009                   0
                0.01                   0
               0.011                   0
               0.012                   0
               0.013                   0
               0.014                   0
               0.015                   0
               0.016                   0
               0.018                   0
                0.02                   0
               0.025                   0
                0.03                   0
                0.04        4.79879e-224
                0.05         1.3745e-181
                0.06        4.52162e-153
                0.07        1.47552e-132
                0.08        4.55141e-117
                0.09        6.07574e-105
                 0.1         3.50721e-95
                0.11         3.80498e-87
                0.12         2.07228e-80
                0.13         1.12071e-74
                0.14          9.8101e-70
                0.15         1.99076e-65
                0.16         1.22703e-61
                0.18         2.85754e-55
                 0.2         4.02249e-50
                0.25         1.08455e-40
                 0.3         3.19433e-34
                0.35         2.69327e-29
                 0.4         3.52195e-25
                0.45         8.25354e-22
                 0.5         4.44044e-19
                 0.6         5.84116e-15
                 0.7         5.33544e-12
                 0.8         9.21966e-10
                 0.9         5.24225e-08
                   1         1.36383e-06
                1.25         0.000517263
                 1.5           0.0289913
                1.75            0.539782
                   2             5.02908
                 2.5              124.24
                   3             1131.98
                 3.5             5704.32
                   4             19546.1
                   5              111274
                   6              353848
                   7              800914
                   8         1.46439e+06
                   9         2.32421e+06
                  10         3.34507e+06
